RefSeq mRNA ID	NCBI gene ID	Gene name
NM_001267554	2155	F7
NM_019863	2157	F8
NM_000132	2157	F8
NM_000133	2158	F9
NM_001313913	2158	F9
NM_001312675	2159	F10
NM_001312674	2159	F10
NM_000504	2159	F10
NM_000128	2160	F11
NM_000505	2161	F12
NM_000129	2162	F13A1
NM_001994	2165	F13B
NM_001441	2166	FAAH
NM_001442	2167	FABP4
NM_001443	2168	FABP1
NM_000134	2169	FABP2
NM_001320996	2170	FABP3
NM_004102	2170	FABP3
NM_001444	2171	FABP5
NM_001130958	2172	FABP6
NM_001040442	2172	FABP6
NM_001445	2172	FABP6
NM_001446	2173	FABP7
NM_001319041	2173	FABP7
NM_001319039	2173	FABP7
NM_001319042	2173	FABP7
NM_000135	2175	FANCA
NM_001286167	2175	FANCA
NM_001018112	2175	FANCA
NM_000136	2176	FANCC
NM_001243743	2176	FANCC
NM_001243744	2176	FANCC
NM_033084	2177	FANCD2
NM_001319984	2177	FANCD2
NM_001018115	2177	FANCD2
NM_021922	2178	FANCE
NM_001286711	2180	ACSL1
NM_001995	2180	ACSL1
NM_001286708	2180	ACSL1
NM_001286710	2180	ACSL1
NM_001286712	2180	ACSL1
NM_004457	2181	ACSL3
NM_203372	2181	ACSL3
NM_001318509	2182	ACSL4
NM_001318510	2182	ACSL4
NM_004458	2182	ACSL4
NM_022977	2182	ACSL4
NM_000137	2184	FAH
NM_173174	2185	PTK2B
NM_004103	2185	PTK2B
NM_173176	2185	PTK2B
NM_173175	2185	PTK2B
NM_182641	2186	BPTF
NM_004459	2186	BPTF
NM_152633	2187	FANCB
NM_001324162	2187	FANCB
NM_001018113	2187	FANCB
NM_022725	2188	FANCF
NM_004629	2189	FANCG
NM_004460	2191	FAP
NM_001291807	2191	FAP
NM_001996	2192	FBLN1
NM_006486	2192	FBLN1
NM_006485	2192	FBLN1
NM_006487	2192	FBLN1
NM_004461	2193	FARSA
NM_004104	2194	FASN
NM_005245	2195	FAT1
NM_001447	2196	FAT2
NM_001997	2197	FAU
NM_001004019	2199	FBLN2
NM_001998	2199	FBLN2
NM_001165035	2199	FBLN2
NM_000138	2200	FBN1
NM_001999	2201	FBN2
NM_001039349	2202	EFEMP1
NM_001039348	2202	EFEMP1
NM_000507	2203	FBP1
NM_001127628	2203	FBP1
NM_002000	2204	FCAR
NM_133271	2204	FCAR
NM_133272	2204	FCAR
