ENST_ID	hgnc_symbol
ENST00000477447	TARDBP
ENST00000700088	MASP2
ENST00000612542	TARDBP
ENST00000620505	TARDBP
ENST00000621573	TARDBP
ENST00000611008	TARDBP
ENST00000613177	TARDBP
ENST00000496840	TARDBP
ENST00000622108	TARDBP
ENST00000617757	TARDBP
ENST00000480464	TARDBP
ENST00000620028	TARDBP
ENST00000700089	MASP2
ENST00000700090	MASP2
ENST00000700091	MASP2
ENST00000700092	MASP2
ENST00000700093	MASP2
ENST00000700094	MASP2
ENST00000700095	MASP2
ENST00000700096	MASP2
ENST00000400897	MASP2
ENST00000700097	MASP2
ENST00000607145	TARDBP
ENST00000612387	TARDBP
ENST00000400898	MASP2
ENST00000376957	SRM
ENST00000490101	SRM
ENST00000459997	SRM
ENST00000304457	EXOSC10
ENST00000376936	EXOSC10
ENST00000460196	EXOSC10
ENST00000703140	MTOR
ENST00000703143	MTOR
ENST00000361445	MTOR
ENST00000703139	MTOR
ENST00000703141	MTOR
ENST00000703142	MTOR
ENST00000703118	MTOR
ENST00000376819	ANGPTL7
ENST00000476934	ANGPTL7
ENST00000376810	UBIAD1
ENST00000376804	UBIAD1
ENST00000486588	UBIAD1
ENST00000483738	UBIAD1
ENST00000294484	DISP3
ENST00000423056	DISP3
ENST00000304391	DISP3
ENST00000642025	FBXO2
ENST00000354287	FBXO2
ENST00000251546	FBXO44
ENST00000376770	FBXO44
ENST00000251547	FBXO44
ENST00000376768	FBXO44
ENST00000376760	FBXO44
ENST00000376762	FBXO44
ENST00000475435	FBXO44
ENST00000717649	MAD2L2
ENST00000471895	FBXO44
ENST00000697272	MAD2L2
ENST00000376753	FBXO6
ENST00000474239	FBXO6
ENST00000449067	FBXO6
ENST00000376692	MAD2L2
ENST00000235310	MAD2L2
ENST00000697273	MAD2L2
ENST00000376672	MAD2L2
ENST00000456915	MAD2L2
ENST00000376669	MAD2L2
ENST00000376667	MAD2L2
ENST00000294485	DRAXIN
ENST00000376637	AGTRAP
ENST00000476512	AGTRAP
ENST00000400895	AGTRAP
ENST00000494437	AGTRAP
ENST00000314340	AGTRAP
ENST00000491346	AGTRAP
ENST00000376629	AGTRAP
ENST00000376627	AGTRAP
ENST00000452018	AGTRAP
ENST00000510878	AGTRAP
ENST00000476309	AGTRAP
ENST00000514733	AGTRAP
ENST00000513739	AGTRAP
ENST00000471765	AGTRAP
ENST00000433342	C1orf167
ENST00000688073	C1orf167
ENST00000484153	C1orf167
ENST00000312793	C1orf167
ENST00000444493	C1orf167
ENST00000449278	C1orf167
ENST00000475041	C1orf167
ENST00000376592	MTHFR
ENST00000376590	MTHFR
ENST00000376583	MTHFR
ENST00000376585	MTHFR
ENST00000482358	C1orf167
ENST00000641747	MTHFR
ENST00000423400	MTHFR
ENST00000641446	MTHFR
ENST00000641407	MTHFR
ENST00000641820	MTHFR
ENST00000312413	CLCN6
ENST00000346436	CLCN6
ENST00000376497	CLCN6
ENST00000400892	CLCN6
ENST00000376496	CLCN6
ENST00000376490	CLCN6
ENST00000376491	CLCN6
ENST00000376492	CLCN6
ENST00000494028	CLCN6
ENST00000446542	CLCN6
ENST00000376480	NPPA
ENST00000376476	NPPA
ENST00000376468	NPPB
ENST00000376572	KIAA2013
ENST00000376576	KIAA2013
ENST00000485046	PLOD1
ENST00000196061	PLOD1
ENST00000358133	PLOD1
ENST00000465920	PLOD1
ENST00000491536	PLOD1
ENST00000470133	PLOD1
ENST00000481933	PLOD1
ENST00000444836	MFN2
ENST00000674817	MFN2
ENST00000675053	MFN2
ENST00000675194	MFN2
ENST00000675817	MFN2
ENST00000675298	MFN2
ENST00000674548	MFN2
ENST00000675959	MFN2
ENST00000675872	MFN2
ENST00000674706	MFN2
ENST00000676426	MFN2
ENST00000674658	MFN2
ENST00000674910	MFN2
ENST00000490079	MFN2
ENST00000675231	MFN2
ENST00000484391	MFN2
ENST00000497302	MFN2
ENST00000675113	MFN2
ENST00000675512	MFN2
ENST00000235329	MFN2
ENST00000675919	MFN2
ENST00000675987	MFN2
ENST00000676293	MFN2
ENST00000675483	MFN2
ENST00000675374	MFN2
ENST00000675528	MFN2
ENST00000675404	MFN2
ENST00000676295	MFN2
ENST00000675043	MFN2
ENST00000478749	MIIP
ENST00000235332	MIIP
ENST00000466860	MIIP
ENST00000498685	MIIP
ENST00000492256	MIIP
ENST00000460823	MIIP
ENST00000478299	MIIP
ENST00000263932	TNFRSF8
ENST00000417814	TNFRSF8
ENST00000514649	TNFRSF8
ENST00000413146	TNFRSF8
ENST00000479933	TNFRSF8
ENST00000376259	TNFRSF1B
ENST00000492361	TNFRSF1B
ENST00000489921	TNFRSF1B
ENST00000620676	VPS13D
ENST00000613099	VPS13D
ENST00000476169	VPS13D
ENST00000489961	VPS13D
ENST00000011700	VPS13D
ENST00000646917	VPS13D
ENST00000460333	VPS13D
ENST00000487188	VPS13D
