raw_ids	SYMBOL	GENENAME
NM_001257716	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1
NM_001260644	ZNF343	zinc finger protein 343
NM_001266087	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
NM_001266929	CPXM1	carboxypeptidase X, M14 family member 1
NM_001194749	C10H20orf141	chromosome 10 C20orf141 homolog
NM_001194663	PCED1A	PC-esterase domain containing 1A
NM_001266190	VPS16	VPS16 core subunit of CORVET and HOPS complexes
NM_001034202	GNRH2	gonadotropin releasing hormone 2
NM_001194667	MRPS26	mitochondrial ribosomal protein S26
NM_001194674	DDRGK1	DDRGK domain containing 1
NM_001194681	SPEF1	sperm flagellar 1
NM_001194748	AP5S1	adaptor related protein complex 5 subunit sigma 1
NM_001261660	TRMT6	tRNA methyltransferase 6 non-catalytic subunit
NM_001265899	MCM8	minichromosome maintenance 8 homologous recombination repair factor
NM_001032864	SNAP25	synaptosome associated protein 25
NM_001266509	MKKS	MKKS centrosomal shuttling protein
NM_001265872	FLRT3	fibronectin leucine rich transmembrane protein 3
NM_001260894	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
NM_001195492	DSTN	destrin, actin depolymerizing factor
NM_001261624	MGME1	mitochondrial genome maintenance exonuclease 1
NM_001266528	PET117	PET117 homolog
NM_001260665	POLR3F	RNA polymerase III subunit F
NM_001260771	RBBP9	RB binding protein 9, serine hydrolase
NM_001193890	SCP2D1	SCP2 sterol binding domain containing 1
NM_001266049	THBD	thrombomodulin
NM_001194163	NXT1	nuclear transport factor 2 like export factor 1
NM_001038661	CST11	cystatin 11
NM_001266050	APMAP	adipocyte plasma membrane associated protein
NM_001261275	ABHD12	abhydrolase domain containing 12, lysophospholipase
NM_001266157	NANP	N-acetylneuraminic acid phosphatase
NM_001194230	HDHD5	haloacid dehalogenase like hydrolase domain containing 5
NM_001260660	PEX26	peroxisomal biogenesis factor 26
NM_001193690	DGCR6L	DiGeorge syndrome critical region gene 6 like
NM_001194280	ESS2	ess-2 splicing factor homolog
NM_001266706	SLC25A1	solute carrier family 25 member 1
NM_001266415	MRPL40	mitochondrial ribosomal protein L40
NM_001257731	UFD1	ubiquitin recognition factor in ER associated degradation 1
NM_001261012	COMT	catechol-O-methyltransferase
NM_001194750	DGCR8	DGCR8 microprocessor complex subunit
NM_001261328	ZDHHC8	zinc finger DHHC-type palmitoyltransferase 8
NM_001266035	SLC7A4	solute carrier family 7 member 4
NM_001261590	THAP7	THAP domain containing 7
NM_001257483	CRKL	CRK like proto-oncogene, adaptor protein
NM_001265760	SERPIND1	serpin family D member 1
NM_001193786	TMEM191C	transmembrane protein 191C
NM_001193593	UBE2L3	ubiquitin conjugating enzyme E2 L3
NM_001195830	MT1E	metallothionein 1E
NM_001266407	TOP3B	DNA topoisomerase III beta
