raw_ids	SYMBOL	GENENAME
NM_001327761	gpank1	G patch domain and ankyrin repeats 1
NM_001327760	gpank1	G patch domain and ankyrin repeats 1
NM_001105703	gpank1	G patch domain and ankyrin repeats 1
NM_212988	pdcd4a	programmed cell death 4a
NM_200808	ndufb6	NADH:ubiquinone oxidoreductase subunit B
NM_001305555	toporsa	topoisomerase I binding, arginine/serine-rich a
NM_200554	mtap	methylthioadenosine phosphorylase
NM_205662	ppa2	inorganic pyrophosphatase 2
NM_001002161	ints12	integrator complex subunit 12
NM_001080563	g3bp2a	G3BP stress granule assembly factor 2a
NM_199643	coro2aa	coronin 2Aa
NM_212603	anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B
NM_001037692	trmo	tRNA methyltransferase O
NM_001327757	trmo	tRNA methyltransferase O
NM_201116	sh3gl2a	SH3 domain containing GRB2 like 2a, endophilin A1
NM_001045258	pspc1	paraspeckle component 1
NM_001077787	dnajb14	DnaJ heat shock protein family (Hsp40) member B14
NM_001007361	sugt1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
NM_001003779	chst10	carbohydrate sulfotransferase 10
NM_201115	snapc3	small nuclear RNA activating complex, polypeptide 3
NM_131197	ednrba	endothelin receptor Ba
NM_001114584	zgc:172295	zgc:172295
NM_001037434	poglut1	protein O-glucosyltransferase 1
NM_213047	pwp2h	PWP2 small subunit processome component
NM_001007317	gemin8	gem (nuclear organelle) associated protein 8
NM_001111232	cbsa	cystathionine beta-synthase a
NM_200980	ankrd10a	ankyrin repeat domain 10a
NM_001109872	zgc:173948	zgc:173948
NM_200315	irs2a	insulin receptor substrate 2a
NM_001103123	lig4	ligase IV, DNA, ATP-dependent
NM_001128244		
NM_001327983	spp2	secreted phosphoprotein 2
NM_200522	zc3h13	zinc finger CCCH-type containing 13
NM_212728	tm9sf2	transmembrane 9 superfamily member 2
NM_001001820	zic2b	zic family member 2 (odd-paired homolog, Drosophila) b
NM_001126467	si:dkey-22o12.2	si:dkey-22o12.2
NM_213083	tmem41ab	transmembrane protein 41ab
NM_001089374	igf2bp2b	insulin-like growth factor 2 mRNA binding protein 2b
NM_001080561	ubac2	UBA domain containing 2
NM_001302806	mzt1	mitotic spindle organizing protein 1
NM_001007450	bora	bora aurora kinase A activator
NM_001024392	metap1d	methionyl aminopeptidase type 1D (mitochondrial)
NM_131297	dlx2b	distal-less homeobox 2b
NM_001017795	eef1a1b	eukaryotic translation elongation factor 1 alpha 1b
NM_001256665	cenpk	centromere protein K
NM_001163312	lbx1b	ladybird homeobox 1b
NM_182856	fgf8b	fibroblast growth factor 8b
NM_001045377	dpcd	deleted in primary ciliary dyskinesia homolog (mouse)
NM_213243	poll	polymerase (DNA directed), lambda
NM_001020631	wbp1lb	WW domain binding protein 1-like b
NM_131032	inab	internexin neuronal intermediate filament protein, alpha b
NM_131358	anos1a	anosmin 1a
NM_001089482	pnpla4	patatin-like phospholipase domain containing 4
NM_001145576	gyg2	glycogenin 2
NM_001079980	cd99	CD99 molecule
NM_212904	chmp2bb	charged multivesicular body protein 2Bb
NM_180965	cldng	claudin g
NM_001025302	nsun3	NOP2/Sun RNA methyltransferase 3
NM_001034019	kctd12.2	potassium channel tetramerisation domain containing 12.2
NM_001045444	lmo7b	LIM domain 7b
NM_207062	klf12a	Kruppel like factor 12a
NM_001003575	pibf1	progesterone immunomodulatory binding factor 1
NM_001003473	gpalpp1	GPALPP motifs containing 1
NM_001103133	gtf2f2a	general transcription factor IIF, polypeptide 2a
NM_001002127	gtf2f2a	general transcription factor IIF, polypeptide 2a
NM_198140	tpt1	tumor protein, translationally-controlled 1
NM_001111204	zgc:172122	zgc:172122
NM_001098260	sc:d189	sc:d189
NM_001080012	hhip	hedgehog interacting protein
NM_001105112	mmaa	metabolism of cobalamin associated A
NM_001327755	zgc:152968	zgc:152968
NM_001002077	lsm6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
NM_001145596	tmem184c	transmembrane protein 184C
NM_001130767	prmt9	protein arginine methyltransferase 9
NM_001145240	scpp1	secretory calcium-binding phosphoprotein 1
NM_001130605	sparcl1	SPARC-like 1
NM_001020641	galnt7	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7
NM_001037424	hmgb2a	high mobility group box 2a
NM_131626	hand2	heart and neural crest derivatives expressed 2
NM_001040307	fbxo8	F-box protein 8
NM_001076736	cep44	centrosomal protein 44
NM_001017753	asb5b	ankyrin repeat and SOCS box containing 5b
NM_212948	spcs3	signal peptidase complex subunit 3
NM_205734	vegfc	vascular endothelial growth factor c
NM_207054	irf2a	interferon regulatory factor 2a
NM_001326712	irf2a	interferon regulatory factor 2a
NM_200369	tmem134	transmembrane protein 134
NM_001002448	ing2	inhibitor of growth family, member 2
NM_214712	aip	aryl hydrocarbon receptor interacting protein
NM_001009898	cdk2ap2	cyclin dependent kinase 2 associated protein 2
NM_001039642	lgi2b	leucine-rich repeat LGI family, member 2b
NM_001002710	ccdc149b	coiled-coil domain containing 149b
NM_001145632	cntf	ciliary neurotrophic factor
NM_001076574	zgc:152658	zgc:152658
NM_001130615	zgc:194443	zgc:194443
NM_001328567	si:ch211-113e8.5	si:ch211-113e8.5
NM_200023	txna	thioredoxin a
NM_001077559	scoca	short coiled-coil protein a
NM_001077541	clgn	calmegin
NM_001077293	zgc:153642	zgc:153642
NM_001003502	htra3a	HtrA serine peptidase 3a
NM_001045371	hmx4	H6 family homeobox 4
NM_201306	lrpap1	low density lipoprotein receptor-related protein associated protein 1
NM_131018	htt	huntingtin
NM_001145593	si:ch211-89o9.4	si:ch211-89o9.4
NM_200766	paip2b	poly(A) binding protein interacting protein 2B
NM_001080190	mogs	mannosyl-oligosaccharide glucosidase
NM_001328186	smox	spermine oxidase
NM_001002577	suclg1	succinate-CoA ligase GDP/ADP-forming subunit alph
NM_200383	cisd2	CDGSH iron sulfur domain 2
NM_001017809	bdh2	3-hydroxybutyrate dehydrogenase, type 2
NM_001256638	tacr3a	tachykinin receptor 3a
NM_001145556	enam	enamelin
NM_001145236	scpp5	secretory calcium-binding phosphoprotein 5
NM_001145239	scpp7	secretory calcium-binding phosphoprotein 7
NM_001145237	ambn	ameloblastin
NM_001145243	odam	odontogenic, ameloblast associated
NM_001145245	scpp9	secretory calcium-binding phosphoprotein 9
